ame,Address,Location,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,GreenStar,FacilitiesAndServices,Description
"Cheval Blanc by Peter Knogl","Blumenrain 8, Basel, 4001, Switzerland","Basel, Switzerland","€€€€","Classic French",7.5875706,47.5604261,+41612605007,https://guide.michelin.com/en/basel-stadt/basel/restaurant/cheval-blanc-by-peter-knogl,https://www.chevalblancbasel.com/en,"3 Stars",0,"Great view,Interesting wine list,Wheelchair access","In a stylish high-ceilinged room, diners sit at tables set with top-drawer tableware to enjoy classic cuisine that impresses with its sense of finesse and perfect craftsmanship. The well-defined flavours and fantastic contrasts also incorporate the odd Asian influence. Top-quality produce is of course the order of the day. The well-organised and professional service team also provides expert wine recommendations."
Kanda,"1F, Toranomon Hills Residential Tower, 1-1-1 Atago, Minato-ku, Tokyo, 105-0002, Japan","Tokyo, Japan","¥¥¥¥",Japanese,139.748,35.6658,+81364590176,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/kanda,https://www.nihonryori-kanda.com/,"3 Stars",0,"Air conditioning,Counter dining,Interesting wine list","Good cuisine, says Hiroyuki Kanda, should convey beauty, craftsmanship and feeling. This kappo-style restaurant, where guests sit close around the kitchen, is inspired by the Japanese hospitality of the tea ceremony. Delving deep into the essence of Japanese cuisine, Kanda showcases the culture through creativity filled with surprises. The interior was crafted with the assistance of contemporary artist Hiroshi Sugimoto. The beauty of the classics resonates with a refined modern sensibility."
"Azabu Kadowaki","2-7-2 Azabujuban, Minato-ku, Tokyo, 106-0045, Japan","Tokyo, Japan","¥¥¥¥",Japanese,139.733551,35.655993,+81357722553,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/azabu-kadowaki,"","3 Stars",0,"Air conditioning,Counter dining","The essence of the free-flowing creativity exhibited here lies in the joy of people. Inspired by his belief that the customer is the teacher, Toshiya Kadowaki has always focused on how make others happy. One example is his truffle rice: by incorporating mushrooms not traditionally used in Japanese cuisine, he created a dish that became synonymous with the restaurant. Kadowaki says that food has the power to make people happy. By blending Western ingredients with Japanese techniques, he develops specialities that transcend borders."
Kohaku,"3-5-5 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, Japan","Tokyo, Japan","¥¥¥¥",Japanese,139.740832,35.700825,+815031385225,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/kohaku,https://kagurazaka-kohaku.jp/,"3 Stars",0,"Air conditioning,Counter dining,Interesting wine list","Japanese cuisine that bubbles with creativity and refuses to be bound by genre. Tsukuri are paired not with soy sauce but on jellied bonito stock and bitter orange. Western ingredients such as caviar and truffles intensify impact. Not wanting to be trapped by the past, Chef Koji Koizumi changes his offerings year by year, driving constantly forward in pursuit of the new. With delicate creations of subtly layered flavours, he captures the sensibility of the age."
"SÉZANNE","7F, Four Seasons Hotel Tokyo at Marunouchi, 1-11-1 Marunouchi, Chiyoda-ku, Tokyo, 100-6277, Japan","Tokyo, Japan","¥¥¥¥","French, Contemporary",139.767155,35.678083,+81352225810,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sezanne,https://www.sezanne.tokyo/,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Wheelchair access","Prix fixe menus trace the steps of Daniel Calvert’s culinary journey. His experiences in each city—London, New York, Paris, Hong Kong—interweaves and elevates the culinary cultures of their respective countries. A borderless sensibility joins French ingredients such as foie gras and vin jaune with Japanese influences such as soy sauce and sake lees. ‘The key to success is consistency’, says Calvert, who fine-tunes his craft with each dish."
Harutaka,"6F, 8-3-1 Ginza, Chuo-ku, Tokyo, 104-0061, Japan","Tokyo, Japan","¥¥¥¥",Sushi,139.759203,35.669269,+81335731144,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/harutaka,"","3 Stars",0,"Air conditioning,Counter dining","Sometimes our connections intervene to change our lives. Harutaka Takahashi’s mischievous youth in Asahikawa took a turn for the better when, through a tempura master who was a close friend of his potter uncle, he landed a job at Sukiyabashi Jiro. Like Ravel’s Bolero, sushi here is presented with a particular rhythm, building toward a crescendo of sweetness, sourness and temperature in harmony. Destiny is in the taste and texture of every piece of sushi at Harutaka."
"L'OSIER","7-5-5 Ginza, Chuo-ku, Tokyo, 104-0061, Japan","Tokyo, Japan","¥¥¥¥","French, French Contemporary",139.761203,35.669667,+81335716050,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/l-osier,https://losier.shiseido.co.jp/,"3 Stars",0,"Air conditioning,Car park,Interesting wine list","‘L’Osier’ means ‘The Willow’. The name comes from the willow trees that once symbolised Ginza and is a nod to the shop’s founding location. When the doors open, guests are greeted by a glass artwork depicting a willow tree. Half a century has passed since the restaurant opened, but it has never stopped innovating. Chef Olivier Chaignon cultivates relationships with producers around the country, creating French cuisine at the cutting edge of the era."
"Kagurazaka Ishikawa","5-37 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, Japan","Tokyo, Japan","¥¥¥¥",Japanese,139.739466,35.701212,+815031385225,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/kagurazaka-ishikawa,https://www.kagurazaka-ishikawa.co.jp/,"3 Stars",0,"Air conditioning,Counter dining","Attended by a coterie of apprentices, Hideki Ishikawa never forgets the mindset of constant study. He visits producing regions, returning with the most outstanding foods. Each dish contains no more than two main ingredients. With unobtrusive technique, Ishikawa expresses the quality of his fare with flavours of elegant simplicity, pursuing the true character of Japanese cuisine. In so doing, he reminds us of the bounty of nature and respect for ingredients."
RyuGin,"7F, Tokyo Midtown Hibiya, 1-1-2 Yurakucho, Chiyoda-ku, Tokyo, 100-0006, Japan","Tokyo, Japan","¥¥¥¥",Japanese,139.759193,35.673583,+81366300007,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/ryugin-1194232,https://www.nihonryori-ryugin.com/,"3 Stars",0,"Air conditioning,Interesting wine list,Notable sake list","What better location to showcase the wonders of Japan than steps from the Imperial Palace? With the Japanese flag emblazoned on his shirt, Seiji Yamamoto expresses his respect for spirituality and Japanese ingredients. The chef notes that ryori, the word for cuisine, consists of two characters meaning ‘discernment’ and ‘measurement.’ Yamamoto innovates from a scientific perspective, based on clear theoretical grounds. The restaurant’s name derives from a proverb: Ryu ginzureba kumo okoru: ’When the dragon sings, clouds form.’ The ‘Dragon of Hibiya’ is leading a Japanese culinary movement for a new age."
"L'Effervescence","2-26-4 Nishiazabu, Minato-ku, Tokyo, 106-0031, Japan","Tokyo, Japan","¥¥¥¥","French, Contemporary",139.719454,35.660299,+81357669500,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/l-effervescence,https://www.leffervescence.jp/,"3 Stars",1,"Air conditioning,Interesting wine list","Shinobu Namae’s vision is the connection between nature and people. In search of knowledge about ingredients, he visits producers, plunges into the ocean, and hikes through the hills and fields. The list of producers on his menus tells the story of his cuisine. ‘Artisanal Vegetables’ serves up the fragrances and minerals of the good earth on a single platter. ‘Forest to Ocean’, a seafood dish, expresses the cycles of nature. Knowledge gained and ideas conceived in his travels resonate in the creations on the plate."
"Joël Robuchon","Yebisu Garden Place, 1-13-1 Mita, Meguro-ku, Tokyo, 153-0062, Japan","Tokyo, Japan","¥¥¥¥","French, Contemporary",139.714528,35.641903,+81354241347,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/joel-robuchon-1193981,https://www.robuchon.jp/,"3 Stars",0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus","Le Caviar Imperial tops the list in a procession of dishes, each a work of art on a plate. Breads and desserts roll by on a trolley for your selection. Joël Robuchon’s eponymous restaurant is a crystallisation of the great chef’s gastronomy. Carrying the torch for the Joël Robuchon esprit is Chef Kenichiro Sekiya, recipient of the prestigious Meilleurs Ouvriers de France (MOF) title. Sekiya is shaping the future of Japan’s culinary landscape, devising new recipes based on the teachings of his famous mentor."
Quintessence,"1F, Garden City Shinagawa Gotenyama, 6-7-29 Kitashinagawa, Shinagawa-ku, Tokyo, 141-0001, Japan","Tokyo, Japan","¥¥¥¥","French, Contemporary",139.732977,35.624038,+81362770090,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/quintessence-1193907,https://www.quintessence.jp/,"3 Stars",0,"Air conditioning,Interesting wine list,Wheelchair access","Chef Shuzo Kishida is ever mindful of three key elements: ingredients, flame, seasoning. He is always trying to evolve on these fronts. His drive to create new recipes each season derives from constant fine-tuning of sensibility and accumulated experience. Goat’s-milk bavarois has been a speciality since the day Kishida opened his restaurant. Putting the spotlight on the future of French cuisine, Kishida also takes pride in turning out the next generation of chefs."
Sazenka,"4-7-5 Minamiazabu, Minato-ku, Tokyo, 106-0047, Japan","Tokyo, Japan","¥¥¥¥",Chinese,139.728395,35.649578,+815031888819,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sazenka,https://sazenka.com/,"3 Stars",0,"Air conditioning,Interesting wine list","Chef Tomoya Kawada is a student of the ‘water’ of Japanese cuisine and the ‘fire’ of Chinese cooking; he conveys Japanese spirit through Chinese technique. Soup of green pheasant is fortified with the richness of Jinhua ham, bringing out a flavour reminiscent of Japanese soup dishes. In a classic Japanese approach, pigeon breast is smoked over straw, then grilled over charcoal, while Chinese technique takes the stage with the thigh pungently fried on the skin side. This is ‘wakon-kansai’, Japanese spirit imbued with Chinese learning, taking the food of China to a new level."
"Xin Rong Ji (Xinyuan South Road)","1F, East Tower, Genesis Beijing, 8 Xinyuan South Road, Chaoyang, Beijing, China Mainland","Beijing, China Mainland","¥¥¥¥",Taizhou,116.450148,39.94638,+861065015501,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/xin-rong-ji-xinyuan-south-road,http://www.xinrongji.com,"3 Stars",0,"Air conditioning,Car park,Counter dining,Interesting wine list","This flagship of the chain has an elegant but relaxed dining space done out in modern Chinese style. The menu is essentially the same as at other branches, focusing on Taizhou cooking and fish from the East China Sea. But the 28-day-old baby Peking duck, which you have to pre-order, is available exclusively at this location. Try also the duck stew with fish maw and taro – the taro is so starchy and tender that it melts in your mouth."
"Chao Shang Chao (Chaoyang)","L406B, 4F, CP Center, 20 Jinhe East Road, Chaoyang, Beijing, China Mainland","Beijing, China Mainland","¥¥¥¥","Chao Zhou",116.461892,39.910992,+861085962666,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/chao-shang-chao,"","3 Stars",0,"Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access","Upon arrival at this upmarket restaurant, diners step into a hallway lined with steeply priced dried fish maws. With years of experience in Hong Kong and Shanghai, Chef Cheung has revamped the menu with his new takes on Chaozhou classics – dishes such as braised eel wrapped in lotus leaf with dried tangerine peel and plum sauce show precision and finesse. Besides the vast wine list, the tea menu also brims with options that will tickle your fancy."
"De Librije","Spinhuisplein 1, Zwolle, 8011 ZZ, Netherlands","Zwolle, Netherlands","€€€€","Modern Cuisine",6.0980183,52.5153644,+31388530000,https://guide.michelin.com/en/overijssel/zwolle/restaurant/de-librije,https://www.librije.com/,"3 Stars",1,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Valet parking","De Librije is a culinary institution that has held three MICHELIN stars since 2004. Chef Jonnie and hostess Thérèse Boer are an inspiring power couple who are driving Dutch gastronomy forward. Sustainable regional produce, a focus on vegetables, inventive techniques, the use of fermentation for freshness and acidity. These terms are commonplace today, and that is partly thanks to chef Boer. He incorporates them into his very personal take on cuisine, which abounds with expressive flavours and memorable dishes. Pike-perch from the IJsselmeer, for example, is cooked until perfectly succulent, glazed with apple syrup that is not overly sweet, and topped with zolderspek (cured ""attic bacon"") that has been smoked in-house. A few well-thought-out vegetable garnishes and a beurre blanc made with Riesling round off this ode to the Dutch terroir. Diners tuck into their food in the extraordinary setting: the glass-covered courtyard of a former prison. Every detail hits the right note. From the tour of the kitchen with Jonnie to the private dining experience that completely immerses guests in the world of De Librije. Exemplary service from an attentive but discreet front-of-house team led by Thérèse, a consummate professional who knows how to perfectly complement the flavours on your plate with her wine pairings. In a word: sublime!"
